41 
[5.83010897 4.95073457] 
[4.41058595 3.93951202] 
[2.36554529 4.14208728] 
[5.60842336 2.36081408] 
[3.22562447 2.51620835] 
[7.06742244 6.51161723] 
[6.5389431  2.95031542] 
[5.74410536 6.70902969] 
[7.10599967 4.66199997] 
[3.29900223 5.0559933 ] 
[5.20699812 4.45799793] 
[5.34799258 3.25268108] 
[4.1287604  2.53843821] 
[2.53129831 3.67308699] 
[6.0531899  5.86381094] 
[6.07199992 4.34899997] 
[3.55199948 3.72500022] 
[2.66487228 4.74808427] 
[5.08600729 5.70248924] 
[2.60835846 2.32183659] 
[6.80199983 5.00400177] 
[4.15049669 4.87604844] 
[5.16300119 3.82800009] 
[6.84290291 2.16831691] 
[7.34299997 3.02099979] 
[6.8085813  3.50801314] 
[4.69999456 4.43899452] 
[6.81297453 6.23337669] 
[7.21621508 5.17420729] 
[5.31242433 2.54264472] 
[4.67798809 3.16299764] 
[2.5956591  3.36265998] 
[4.74799949 6.63700045] 
[4.96468944 5.0078765 ] 
[6.56480668 4.98953871] 
[5.55899953 6.27199944] 
[2.7746976  2.97415551] 
[3.09489971 4.33222268] 
[2.3494505  2.84876633] 
[3.9899622  4.28286024] 
[6.48799996 4.22099944] 
42 
[5.23899965 3.15899978] 
[6.08331641 5.89459533] 
[3.55382773 3.72843552] 
[6.48799961 4.22100014] 
[2.33400029 2.82399998] 
[5.39171829 4.47689054] 
[3.07788201 4.49530058] 
[6.5389431  2.95031542] 
[4.09772116 4.37308331] 
[4.15427899 2.58061759] 
[4.74799949 6.63700045] 
[5.11066189 5.72493766] 
[7.19511305 5.1793377 ] 
[6.9540008  6.42999961] 
[2.36554529 4.14208728] 
[6.02797053 4.6132666 ] 
[5.16300014 3.82800129] 
[5.74410536 6.70902969] 
[2.7746976  2.97415551] 
[4.64327191 4.88814585] 
[7.34299997 3.02099979] 
[5.60842336 2.36081408] 
[2.75990835 2.32892582] 
[5.31242433 2.54264472] 
[2.911      3.85100044] 
[5.55899953 6.27199944] 
[4.21800008 3.81399996] 
[6.84290291 2.16831691] 
[3.95800016 4.86700116] 
[4.07399989 2.18499996] 
[2.53528282 3.50228607] 
[2.51899989 4.99299989] 
[5.01101107 4.39134765] 
[6.57503691 4.9960017 ] 
[6.20000082 3.52721707] 
[7.10599967 4.66199997] 
[3.51164753 2.66129974] 
[4.67800017 3.16300003] 
[5.1466625  4.96034965] 
[5.90665706 4.99823513] 
[3.53123921 4.20588371] 
[7.00699964 3.59800026] 
43 
[2.36554529 4.14208728] 
[6.57500064 4.99599949] 
[4.67370805 2.37467669] 
[4.74799949 6.63700045] 
[5.90665706 4.99823513] 
[2.7746976  2.97415551] 
[4.69999621 4.41018064] 
[6.8085813  3.50801314] 
[3.28699772 4.17900558] 
[6.559233   6.47494581] 
[5.60842336 2.36081408] 
[6.84290291 2.16831691] 
[4.11116684 2.57390627] 
[5.16300012 3.82799995] 
[2.72349936 2.352277  ] 
[5.08600729 5.70248924] 
[4.13733132 4.96581924] 
[5.61763895 6.54326757] 
[7.34299997 3.02099979] 
[5.28499978 4.5540003 ] 
[4.21800197 3.81400086] 
[2.58014711 4.8183916 ] 
[6.48799961 4.22100014] 
[6.04918595 5.83946787] 
[6.5389431  2.95031542] 
[4.73199814 4.91399896] 
[5.34799258 3.25268108] 
[7.04343513 6.42967742] 
[4.07399989 2.18499996] 
[7.10599967 4.66199997] 
[3.47908059 3.74883496] 
[3.11691611 4.52447677] 
[2.36707065 2.87070148] 
[6.71400086 5.42300082] 
[5.12099991 4.29900001] 
[5.31242433 2.54264472] 
[4.62643876 3.17805672] 
[2.5130003 3.5700002] 
[4.09772116 4.37308331] 
[7.21621508 5.17420729] 
[3.51164753 2.66129974] 
[5.1466625  4.96034965] 
[5.92179506 4.42530534] 
44 
[6.57500004 4.99599927] 
[4.2713847  3.91972085] 
[2.911      3.85100044] 
[6.46599855 3.34300312] 
[4.83560891 5.00299872] 
[4.67370805 2.37467669] 
[5.55899953 6.27199944] 
[3.16741498 2.50658509] 
[7.06742244 6.51161723] 
[5.60842336 2.36081408] 
[5.16300145 3.82800202] 
[3.29899962 5.05599979] 
[5.34799258 3.25268108] 
[7.34299997 3.02099979] 
[6.3331267  6.26475035] 
[2.66487228 4.74808427] 
[5.27247477 4.56447601] 
[6.84290291 2.16831691] 
[4.07399989 2.18499996] 
[7.10599967 4.66199997] 
[2.58857035 3.42270447] 
[4.10490726 4.86151465] 
[4.05131922 2.62556131] 
[3.55382773 3.72843552] 
[2.36554529 4.14208728] 
[6.07199959 4.34899976] 
[4.74799949 6.63700045] 
[5.08600729 5.70248924] 
[2.58587804 2.30315575] 
[5.87400067 4.85600011] 
[5.31242433 2.54264472] 
[6.5389431  2.95031542] 
[3.11857509 4.34748545] 
[5.74410536 6.70902969] 
[4.69999512 4.34382583] 
[7.19511305 5.1793377 ] 
[4.62643876 3.17805672] 
[2.38000001 2.85899996] 
[7.00699964 3.59800026] 
[6.48799996 4.22099944] 
[3.64759262 4.24212718] 
[6.87264267 6.19986627] 
[6.02558883 5.81453391] 
[6.71400029 5.42300058] 
45 
[6.69999905 6.20100131] 
[3.60619294 3.82019602] 
[5.36367926 3.7299281 ] 
[7.00699985 3.59800036] 
[2.77386372 2.9582943 ] 
[4.83560891 5.00299872] 
[7.34299997 3.02099979] 
[5.63445043 2.36042173] 
[5.55900011 6.27200023] 
[2.36554529 4.14208728] 
[4.11157997 2.5809408 ] 
[5.87399956 4.85599882] 
[5.23298821 4.54597059] 
[3.29900177 5.05599961] 
[6.71400029 5.42300058] 
[2.911      3.85100044] 
[5.23899965 3.15899978] 
[6.57158866 3.07193061] 
[6.84290291 2.16831691] 
[5.12487566 3.94934092] 
[2.53528282 3.50228607] 
[7.10599967 4.66199997] 
[4.21800197 3.81400086] 
[4.09772116 4.37308331] 
[2.58587804 2.30315575] 
[5.85199962 5.95399811] 
[2.51899989 4.99299989] 
[2.73300157 4.52000019] 
[7.0230511  6.45273558] 
[4.74799949 6.63700045] 
[5.74410536 6.70902969] 
[4.63989613 3.18239094] 
[4.15193143 4.97051701] 
[4.07399989 2.18499996] 
[6.34711021 4.16914263] 
[5.08600729 5.70248924] 
[3.22562447 2.51620835] 
[6.18143648 5.92336794] 
[7.19511305 5.1793377 ] 
[6.57500004 4.99599927] 
[4.69999456 4.43899452] 
[5.31242433 2.54264472] 
[4.67370805 2.37467669] 
[2.3494505  2.84876633] 
[3.11857509 4.34748545] 
46 
[4.73199814 4.91399896] 
[2.44138642 2.3133257 ] 
[5.34799258 3.25268108] 
[5.74410536 6.70902969] 
[6.18107176 5.20831326] 
[2.91100067 3.85100533] 
[5.60842336 2.36081408] 
[7.0230511  6.45273558] 
[4.67370805 2.37467669] 
[7.34299997 3.02099979] 
[6.82499945 4.19799982] 
[5.16300005 3.82800004] 
[4.16400392 4.20095841] 
[7.19511305 5.1793377 ] 
[6.5389431  2.95031542] 
[5.3416904  4.48950423] 
