id, x, y, require
1,3.616,4.262,28
2,2.29,3.025,28
3,2.757,2.403,35
4,2.882,3.153,34
5,3.552,3.725,31
6,3.623,4.158,23
7,2.94,4.729,17
8,2.377,4.115,44
9,3.617,3.784,19
10,2.736,2.716,15
11,4.836,4.996,9
12,3.287,4.179,44
13,5.077,4.778,12
14,2.56,2.246,19
15,2.83,4.729,9
16,2.603,3.376,15
17,5.336,3.708,22
18,4.49,3.064,41
19,4.473,4.6,19
20,2.348,4.35,44
21,5.435,4.345,7
22,3.182,4.466,20
23,2.618,3.456,20
24,5.179,2.999,35
25,3.205,2.515,42
26,2.352,4.139,19
27,2.963,2.916,23
28,3.853,2.288,17
29,4.116,2.564,36
30,4.164,4.201,31
31,2.615,3.356,9
32,4.498,3.356,29
33,2.449,3.716,36
34,4.401,3.654,7
35,5.294,3.866,23
36,5.163,2.537,36
37,2.733,4.52,44
38,3.555,2.619,29
39,5.239,3.159,9
40,4.678,4.279,23
41,5.099,3.976,13
42,4.678,3.163,31
43,3.148,4.782,15
44,3.651,4.986,12
45,4.4,3.97,26
46,2.655,4.94,10
47,3.721,3.842,35
48,3.588,2.832,42
49,5.163,3.828,42
50,2.299,3.957,20
51,3.329,3.69,29
52,5.107,3.188,32
53,5.179,3.975,26
54,2.34,4.881,25
55,4.487,5.082,7
56,2.838,2.536,9
57,5.256,4.193,23
58,2.5,4.366,23
59,4.687,4.862,13
60,4.553,2.498,26
61,2.353,2.208,29
62,2.38,2.859,34
63,5.025,3.725,17
64,4.048,4.622,22
65,2.685,2.956,38
66,4.153,5,29
67,4.074,2.185,34
68,4.836,2.82,26
69,4.857,3.278,38
70,5.036,4.341,34
71,4.059,2.534,39
72,2.481,2.489,15
73,2.432,2.448,17
74,3.008,4.24,25
75,4.07,2.167,25
76,2.519,4.993,29
77,4.097,2.732,38
78,3.092,4.332,26
79,2.911,3.851,42
80,5.375,4.637,34
81,3.053,3.592,13
82,4.261,4.584,31
83,2.789,2.185,28
84,2.513,3.57,35
85,4.218,3.814,36
86,3.299,5.056,17
87,4.134,3.255,12
88,4.042,4.336,31
89,4.418,2.914,7
90,2.501,3.225,36
91,4.293,2.752,26
92,4.684,2.327,44
93,3.118,4.512,44
94,2.905,4.023,15
95,3.958,4.867,39
96,3.127,2.325,38
97,4.628,4.416,16
98,5.177,4.889,32
99,2.334,2.824,44
100,4.251,4.939,35
101,7.236,4.735,10
102,7.144,5.148,26
103,5.735,4.392,25
104,6.31,4.701,7
105,7.172,6.495,44
106,5.748,6.711,39
107,5.156,2.644,15
108,5.052,4.488,29
109,4.748,6.637,25
110,6.907,2.103,20
111,5.162,3.644,26
112,5.041,5.964,28
113,5.614,6.599,38
114,6.25,6.301,9
115,6.954,6.43,29
116,5.922,4.685,26
117,6.83,3.419,13
118,6.004,4.942,12
119,4.732,4.914,31
120,5.852,5.954,39
121,5.535,6.369,7
122,6.239,2.924,23
123,6.802,5.004,39
124,4.834,4.072,25
125,6.51,6.494,20
126,4.691,6.777,16
127,5.699,6.763,9
128,6.311,6.058,13
129,6.23,5.082,28
130,5.455,4.882,26
131,6.7,6.201,28
132,6.714,5.423,17
133,7.007,3.598,39
134,6.488,4.221,39
135,5.714,4.027,25
136,5.766,3.572,35
137,6.357,4.121,36
138,7.3,5.324,20
139,5.222,4.104,13
140,5.61,5.907,16
141,7.048,6.423,16
142,6.466,3.343,22
143,5.366,6.185,7
144,6.104,5.929,17
145,6.224,5.593,26
146,6.081,5.776,22
147,6.215,4.293,26
148,5.608,2.361,35
149,5.703,2.417,42
150,7.324,2.913,19
151,6.866,6.282,17
152,6.535,4.798,25
153,5.121,4.299,29
154,5.615,3.124,13
155,6.278,3.548,7
156,7.146,6.451,15
157,5.379,2.569,16
158,5.207,4.458,23
159,6.643,3.042,31
160,5.355,6.169,17
161,5.804,5.027,44
162,5.316,2.526,39
163,6.072,4.349,31
164,5.099,5.052,19
165,6.148,5.209,13
166,5.077,5.682,32
167,5.285,4.554,34
168,6.795,2.139,9
169,5.559,6.272,36
170,6.954,4.647,41
171,7.013,6.646,31
172,6.905,6.181,34
173,4.955,5.195,39
174,6.575,4.996,42
175,6.833,2.198,20
176,6.754,5.586,9
177,5.386,3.279,19
178,6.385,3.708,13
179,6.825,4.198,20
180,6.788,6.844,26
181,5.495,2.725,36
182,7.106,4.662,42
183,7.302,5.124,17
184,7.354,4.684,42
185,6.101,2.688,13
186,5.643,2.157,23
187,5.12,5.654,13
188,4.771,3.811,16
189,7.001,5.396,7
190,6.542,2.947,16
191,5.874,4.856,22
192,7.343,3.021,25
193,5.354,3.304,17
194,6.7,4.251,7
195,4.843,4.501,39
196,5.258,5.911,16
197,5.487,2.164,15
198,6.28,6.131,7
199,5.711,5.674,16
200,6.06,4.659,17
